"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"これって女性用ですか？ ウェストきつ[[過]]ぎてつかえない。 残念です。","これって女性用ですか？ ウェストきつ[[吸]][[気]]ぎてつかえない。 残念です。",0.3309204578399658,0.5471553802490234,2,1,2,76,"Successful"
"海水には[[い]][[い]][[か]][[も]][[し]][[れ]][[ま]][[せ]][[ん]][[が]]、[[淡水]][[に]][[は]][[人工]][[感]][[が]][[あ]][[っ]][[た]][[の]][[で]][[背景]][[と]][[し]][[て]]。","海水には[[す]][[で]][[に]][[い]][[か]][[も]][[行]][[っ]][[れ]][[ま]][[せ]][[ん]]（、[[淡水]][[に]][[は]][[人工]][[感]][[が]][[お]][[じ]][[ょ]][[う]][[さ]][[ま]][[ぇ]][[た]][[の]][[で]][[背景]][[と]][[し]][[て]]。",0.11680382490158081,0.5829629898071289,1,2,1,329,"Successful"
"他のレビューに記載されている通り、まっ[[た]][[く]][[使]][[え]][[ま]][[せ]][[ん]]。[[皆]][[様]]、[[騙]][[さ]][[れ]][[な]][[い]][[よ]][[う]][[に]][[し]][[て]][[く]][[だ]][[さ]][[い]]。","他のレビューに記載されている通り、まっ[[さ]][[顔]][[ぶ]][[れ]][[に]][[く]][[使]][[ん]][[ま]][[せ]][[ん]]。[[皆]][[様]]、[[騙]][[さ]][[れ]][[な]][[い]][[よ]][[う]][[に]][[な]][[ご]][[ー]][[ご]][[ー]][[て]][[く]][[だ]][[さ]][[い]]。",0.029717445373535156,0.625924289226532,2,1,2,490,"Successful"
"音もまぁまぁいいし、[[耳]]からはずれ[[に]]くい。調整できるアタッチメントも付いてる。 ケースも付属品が全て入り、説明書も折り曲げれば入る。それがさりげなく良い。 [[買]]っ[[て]][[よ]]かったと思います！ ジムでのトレーニングがより楽しくなりました！","音もまぁまぁいいし、[[聴]][[こ]][[え]]からはずれ。くい。調整できるアタッチメントも付いてる。 ケースも付属品が全て入り、説明書も折り曲げれば入る。それがさりげなく良い。 [[荷為]][[替手]][[形]]っ。？かったと思います！ ジムでのトレーニングがより楽しくなりました！",0.031703948974609375,0.5420315861701965,0,1,0,350,"Successful"
"小型軽量で趣味で使うには十分ですが、、、 筐体の固定ねじ4本中3本しか有りませんでした。（1本締めわすれ） 出荷検査ちゃんとしてるか疑問です。","小型軽量で趣味で使うには十分ですが、、、 筐体の固定ねじ4本中3本しか有りませんでした。（1本締めわすれ） 出荷検査ちゃんとしてるか疑問です。",0.7437781691551208,0.7437781691551208,2,2,1,1,"Skipped"
"右のほうのコントローラーが反応しにくいです。 強く押せば[[解決]]できるのですが、すぐに壊れそうで怖いです。 実際に使用して[[便利]]ではあったの[[で]]、星3にしました","右のほうのコントローラーが反応しにくいです。 強く押せば[[究明]]できるのですが、すぐに壊れそうで怖いです。 実際に使用して[[NAVITIME]]ではあったの[[に]]、星3にしました",0.13579261302947998,0.6832399368286133,1,2,1,218,"Successful"
"大容量を謳い文句にしてるように、中はかなりの物が入ります。小銭入れもL字のファスナーなので見やすく取り出し安いですね。かなり[[い]][[い]][[財布]][[で]][[す]]。","大容量を謳い文句にしてるように、中はかなりの物が入ります。小銭入れもL字のファスナーなので見やすく取り出し安いですね。かなり。[[な]][[い]][[財布]][[で]][[す]]。",0.04803109169006348,0.7496941089630127,0,1,0,162,"Successful"
"洗濯機と散水に利用でき、用途的には良いんですが・・・ パッキンの馴染みのせいか？ かなり締めこまないと、水の止まりが悪いのが気になります。","洗濯機と散水に利用でき、用途的には良いんですが・・・ パッキンの馴染みのせいか？ かなり締めこまないと、水の止まりが悪いのが気になります。",0.9634146094322205,0.9634146094322205,1,1,2,1,"Skipped"
"使用目的に合わ[[な]][[か]]った[[で]][[す]]、[[ア]][[ー]][[ム]][[の]][[フ]][[レ]][[キ]][[シ]][[ブ]][[ル]][[ア]][[ー]][[ム]][[が]][[使]][[い]][[づ]][[ら]]い[[で]][[す]]、[[購入]][[は]][[良]][[く]][[考]][[え]][[た]][[ほ]][[う]][[が]][[良]][[い]]、[[お]][[勧]][[め]][[し]][[ま]][[せ]][[ん]]、[[半田付]][[け]][[の]][[場合]]。","使用目的に合わ[[と]][[い]]った[[か]][[っ]][[た]][[で]][[す]]、[[ア]][[ー]][[ム]][[の]][[フ]][[レ]][[キ]][[シ]][[ブ]][[ル]][[ア]][[ー]][[ム]][[が]][[使]]い[[づ]][[ら]][[い]][[で]][[す]]、[[購入]][[は]][[良]][[く]][[考]][[え]][[た]][[ほ]][[う]][[が]][[良]][[い]]、[[お]][[勧]][[め]][[し]][[ま]][[せ]][[ん]]、[[半田付]][[け]][[の]][[場合]]。",0.2925814986228943,0.6823901534080505,2,1,2,106,"Successful"
"モンスターハンターワールド（版：北米）-PS4を注文し、Xbox Oneにひ[[ど]]い[[サ]][[ー]][[ビ]][[ス]][[を]][[送]][[り]][[ま]][[し]][[た]]。","モンスターハンターワールド（版：北米）-PS4を注文し、Xbox Oneにひ[[く]]い[[い]][[サ]][[ー]][[ビ]][[ス]][[を]][[送]][[り]][[ま]][[し]][[た]]。",0.07069516181945801,0.9850534796714783,2,0,2,86,"Successful"
"普段22.5を履いていますが、レ[[ビ]]ューを読んで23.0を頼みま[[し]][[た]]。[[で]][[も]]、[[私]][[に]][[は]][[少]][[し]][[大]][[き]][[か]][[っ]][[た]][[で]][[す]]。 [[い]][[つ]][[も]]の[[サ]][[イ]][[ズ]][[で]][[良]][[か]][[っ]][[た]][[よ]][[う]][[な]][[気]][[が]][[し]][[ま]][[す]]。[[軽]][[く]][[て]][[歩]][[き]][[や]][[す]][[い]][[と]][[は]][[思]][[い]][[ま]][[す]][[が]]、[[少]][[し]][[大]][[き]]い[[た]][[め]][[に]][[足]][[裏]][[が]][[形]][[と]][[ず]][[れ]][[る]][[の]][[が]] [[少]][[し]][[残念]][[で]][[し]][[た]]。[[で]][[も]][[形]][[は]][[す]][[ご]][[く]][[か]][[わ]][[い]][[い]][[で]][[す]]。","普段22.5を履いていますが、レ[[フ]]ューを読んで23.0を頼みま[[そ]][[れ]][[た]]。[[で]][[お]][[り]]、[[だ]][[な]][[の]][[か]][[ら]][[に]][[こ]][[の]][[少]][[し]][[大]][[き]][[そ]]の[[た]][[め]][[た]][[か]][[っ]][[た]][[で]][[す]]。 [[い]][[つ]][[も]][[の]][[サ]][[イ]][[ズ]][[で]][[良]][[か]][[っ]][[た]][[よ]][[う]][[な]][[気]][[が]][[し]][[ま]][[す]]。[[74]][[式]][[特大型]][[ト]][[ラ]][[ッ]][[ク]][[く]][[て]][[歩]][[き]][[や]][[す]]い[[と]][[は]][[思]][[い]][[ま]][[す]][[が]]、[[少]][[し]][[大]][[き]][[い]][[た]][[め]][[に]][[足]][[裏]][[が]][[形]][[と]][[ず]][[れ]][[る]][[の]][[が]] [[少]][[し]][[残念]][[で]][[し]][[た]]。[[で]][[も]][[形]][[は]][[す]][[ご]][[く]][[か]][[わ]][[い]][[い]][[で]][[す]]。",0.07671189308166504,0.5236024856567383,1,0,1,614,"Successful"
"値段が安いので あまり期待していなかったのですが 意外に 効き目があり[[満]][[足]][[し]][[て]][[い]][[ま]][[す]]。 [[色]][[々]][[な]][[動]][[き]][[が]][[あ]][[り]] [[強弱]][[も]][[細]][[か]][[く]][[設定]][[で]][[き]][[る]][[の]][[で]][[良]][[い]][[で]][[す]]。","値段が安いので あまり期待していなかったのですが 意外に 効き目があり[[23]][[点足]][[し]][[て]][[い]][[ま]][[す]]。 [[色]][[々]][[な]][[撓]][[み]][[き]][[が]][[あ]][[り]] [[強弱]][[も]][[細]][[か]][[く]][[設定]][[で]][[き]][[る]][[の]][[で]][[良]][[い]][[し]][[か]][[し]][[す]]。",0.07128334045410156,0.5637581944465637,0,1,0,210,"Successful"
"144こ[[買]]っ[[た]]ので[[す]]がいまだに童貞で一個[[も]]使う機会がありませんでした；； お金返して；；","144こ[[帳合]]っ。ので[[特筆]]がいまだに童貞で一個[[多]][[く]]使う機会がありませんでした；； お金返して；；",0.0678749680519104,0.7466510534286499,2,1,2,234,"Successful"
"音量を上げるために使用しています。 [[ち]][[ょ]]っ[[と]][[ノ]][[イ]][[ズ]][[が]][[で]][[ま]][[す]][[が]][[許容]][[範]][[囲]][[で]][[す]]。","音量を上げるた[[芳澤]][[あ]][[や]]めに使用しています。 [[ま]][[ー]]っ[[れ]][[る]][[と]][[ノ]][[イ]][[ズ]][[が]][[で]][[ざ]][[わ]][[す]][[が]][[許容]][[範]][[囲]][[で]][[す]]。",0.39524734020233154,0.5481898784637451,1,0,1,332,"Successful"
"最初からこの安い値段に引き込んで購入しましたが、結果として驚[[き]][[ま]][[し]][[た]]。[[子供]][[た]][[ち]][[の]][[喧嘩声]][[も]][[よ]][[く]][[聞]][[こ]][[え]][[ま]][[し]][[た]]。","最初からこの安い値段に引き込んで購入しましたが、結果として驚[[ざ]][[ん]][[え]][[き]][[ま]][[し]][[た]]。[[子供]][[た]][[ち]][[の]][[喧嘩声]][[も]][[よ]][[く]][[聞]][[こ]][[え]][[ま]][[し]][[た]]。",0.060557425022125244,0.9774803519248962,0,2,0,95,"Successful"
"1つ[[目]][[注文]]した商品は[[不良]][[品]][[で]][[全]][[く]][[動作]][[し]][[ま]][[せ]][[ん]][[で]][[し]][[た]]。[[そ]][[の]][[た]][[め]][[返品]][[後]][[に]][[2]][[つ]][[目]][[を]][[注文]][[し]][[ま]][[し]][[た]][[が]][[ま]][[た]][[動作]]し[[な]][[い]][[不良]][[品]][[で]]し[[た]]。[[絶]][[対]][[に]][[こ]][[の]][[商品]][[は]][[買]][[わ]][[な]][[い]][[方]][[が]][[良]][[い]][[で]][[す]]。[[注文]][[不良率]][[が]][[高]][[い]][[粗]][[悪]][[品]][[で]][[す]]。[[こ]][[の]][[商品]][[の]][[レ]][[ビ]][[ュ]][[ー]][[で]][[怪]][[し]][[い]][[日本]][[語]][[の]][[レ]][[ビ]][[ュ]][[ー]][[が]][[付]][[い]][[て]][[い]][[ま]][[す]][[が]]、[[あ]][[て]][[に]][[し]][[な]]い[[方]][[が]][[良]][[い]][[で]][[し]][[ょ]][[う]]。","1つ[[目予]][[約]]した商品は[[コ]][[ン]][[デ]][[ィ]][[シ]][[ョ]][[ン]][[品]][[で]][[全]][[く]][[動作]][[し]][[ま]][[せ]][[ん]][[で]][[し]][[た]]。[[そ]][[の]][[た]][[め]][[入稿]][[後]][[に]][[2]][[つ]][[目]][[を]][[注文]][[し]][[ま]]し[[た]]（[[ま]][[た]][[動作]]し[[な]][[い]][[ギ]][[ャ]][[ン]][[グ]][[必需]][[で]][[し]][[た]]。[[初唐]][[に]][[お]][[け]][[る]][[三]][[大家]][[VS]][[に]][[こ]][[の]][[商品]][[に]][[お]][[い]][[て]][[買]][[や]][[や]][[か]][[な]][[い]][[方]][[に]][[よ]][[っ]][[て]][[良]][[い]][[で]][[す]]。[[注文]][[不良率]][[が]][[春先]][[の]][[甲子]][[園]][[い]][[粗]][[悪]][[品]][[で]][[す]]。[[こ]][[の]][[商品]][[の]][[レ]][[ビ]][[ュ]][[ー]][[で]][[怪]][[し]]い[[日本国]][[語]][[の]][[レ]][[ビ]][[ュ]][[ー]]）[[付]][[い]][[て]][[い]][[ま]][[す]][[が]]、[[あ]][[て]][[に]][[し]][[な]][[い]][[方]][[が]][[良]][[い]][[で]][[し]][[ょ]][[う]]。",0.022118031978607178,0.5726935267448425,2,1,2,1316,"Successful"
"商品紹介では日本語吹替・字幕があると明記されていますが、 いざ届いて見てみると全作品でついていません。 パッケージも日本語で書かれ、ディスクにも日本市場向けと明記されているのにです。 字幕も様々な国の言語はあるのに日本だけないのが嫌がらせにすら思えてしまいます。 ただ[[の]]輸入盤ディスクに日本語でパッケージしただ[[け]][[の]][[も]]の[[で]][[す]]。 [[安]][[い]][[も]][[の]][[に]][[は]][[裏]][[が]][[あ]][[る]][[の]][[典型]][[で]][[す]]。[[勉強]][[さ]][[せ]][[て]][[い]][[た]][[だ]][[き]][[ま]][[し]][[た]]。","商品紹介では日本語吹替・字幕があると明記されていますが、 いざ届いて見てみると全作品でついていません。 パッケージも日本語で書かれ、ディスクにも日本市場向けと明記されているのにです。 字幕も様々な国の言語はあるのに日本だけないのが嫌がらせにすら思えてしまいます。 ただ）輸入盤ディスクに日本語でパッケージしただ[[や]][[す]][[む]]の[[も]][[の]][[で]][[す]]。 [[安]][[い]][[も]][[の]][[に]][[は]][[裏]][[が]][[あ]][[る]][[の]][[典型]][[で]][[す]]。[[勉強]][[さ]][[せ]][[て]][[い]][[た]][[だ]][[き]][[ま]][[し]][[た]]。",0.13647425174713135,0.7145575284957886,2,1,2,260,"Successful"
