"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[bears]] is even [[worse]] than i imagined a [[movie]] ever could be .","[[carry]] is even [[pire]] than i imagined a [[cinema]] ever could be .",0.014585733413696289,0.5970160961151123,0,1,0,23,"Successful"
"[[although]] estela bravo's [[documentary]] is cloyingly hagiographic in its portrait of cuban [[leader]] fidel castro , it's [[still]] a [[guilty]] [[pleasure]] to watch .","[[nevertheless]] estela bravo's [[documentaries]] is cloyingly hagiographic in its portrait of cuban [[chef]] fidel castro , it's [[again]] a [[guilt]] [[glee]] to watch .",0.010303378105163574,0.7544305324554443,1,0,1,49,"Successful"
"i have a new favorite musical -- and i'm not even a fan of the genre","i have a new favorite musical -- and i'm not even a fan of the genre",0.7379610538482666,0.7379610538482666,0,0,1,1,"Skipped"
"it's lazy for a [[movie]] to [[avoid]] [[solving]] one [[problem]] by [[trying]] to [[distract]] us with the [[solution]] to another .","it's lazy for a [[kino]] to [[avoidance]] [[dissipating]] one [[trouble]] by [[tempting]] to [[amuse]] us with the [[solving]] to another .",0.03737807273864746,0.10817176103591919,0,0,0,74,"Failed"
"[[even]] when he's not at his most critically insightful , godard can still be [[smarter]] than any 50 other filmmakers still at work .","[[yet]] when he's not at his most critically insightful , godard can still be [[canny]] than any 50 other filmmakers still at work .",0.021894991397857666,0.5426414012908936,1,0,1,27,"Successful"
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",0.5179604887962341,0.5179604887962341,1,1,0,1,"Skipped"
"it's unlikely we'll see a better thriller this year .","it's unlikely we'll see a better thriller this year .",0.7488598823547363,0.7488598823547363,0,0,1,1,"Skipped"
"the story gives ample opportunity for large-scale action and [[suspense]] , which director shekhar kapur supplies with [[tremendous]] [[skill]] .","the story gives ample opportunity for large-scale action and [[wait]] , which director shekhar kapur supplies with [[gargantuan]] [[jurisdiction]] .",0.01370161771774292,0.8640959858894348,1,0,1,62,"Successful"
"[[ultimately]] this is a [[frustrating]] patchwork : an uneasy marriage of louis begley's [[source]] novel ( about schmidt ) and an [[old]] payne [[screenplay]] .","[[lastly]] this is a [[depressing]] patchwork : an uneasy marriage of louis begley's [[fount]] novel ( about schmidt ) and an [[antigua]] payne [[scenario]] .",0.03537094593048096,0.5152560472488403,0,1,0,43,"Successful"
"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",0.5138862133026123,0.5138862133026123,1,1,0,1,"Skipped"
"some writer [[dude]] , i [[think]] his [[name]] was , [[uh]] , [[michael]] zaidan , was [[supposed]] to have [[like]] [[written]] the screenplay or [[something]] , but , [[dude]] , the only [[thing]] that i ever [[saw]] that was [[written]] down were the zeroes on my [[paycheck]] .","some writer [[bloke]] , i [[thinks]] his [[denomination]] was , [[um]] , [[michel]] zaidan , was [[presumption]] to have [[iike]] [[writes]] the screenplay or [[somethings]] , but , [[buddy]] , the only [[stuff]] that i ever [[noticed]] that was [[handwritten]] down were the zeroes on my [[wages]] .",0.02857661247253418,0.4397035837173462,0,0,0,124,"Failed"
"a sha-na-na [[sketch]] punctuated with graphic violence .","a sha-na-na [[biographical]] punctuated with graphic violence .",0.3377223014831543,0.6626882553100586,0,1,0,9,"Successful"
"[[like]] the series , the [[movie]] is [[funny]] , [[smart]] , visually [[inventive]] , and most of all , [[alive]] .","[[likes]] the series , the [[movies]] is [[droll]] , [[brainy]] , visually [[invention]] , and most of all , [[viva]] .",0.005201935768127441,0.12730354070663452,1,1,1,57,"Failed"
"perhaps even the slc high command [[found]] writer-director mitch davis's [[wall]] of kitsch [[hard]] going .","perhaps even the slc high command [[discoveries]] writer-director mitch davis's [[mur]] of kitsch [[tough]] going .",0.041790902614593506,0.5661044716835022,0,1,0,33,"Successful"
"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '","'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",0.8875504732131958,0.8875504732131958,1,1,0,1,"Skipped"
